,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0048732,BP,GO:0048732,gland development,56/269,449/18888,0.124721604,8.757403896,19.99633236,1.42E-36,6.45E-33,2.70E-33,CTNNB1/COX2/AR/AURKA/FBXW7/HOXB13/BRCA2/GPX1/VDR/IL6/CCND1/PIK3CA/FASN/NFKB1/VEGFA/SOD2/NCOA1/FGF2/CDH1/NOTCH1/HIF1A/PCNA/MAPK1/TNF/RELA/EZH2/HNF1B/TWSG1/AKT1/ALOX15B/TGFBR1/SMAD3/CAV1/TGFB1/MMP2/CYP1A1/IL10/FOXA1/EGFR/CUL3/WT1/BAX/TGFA/PCSK1/BRAF/SNAI2/SOX2/NKX3-1/GATA3/TP63/FGFR1/MED1/ESR1/IGF2/ID4/CYP19A1,56
GO:0050673,BP,GO:0050673,epithelial cell proliferation,55/269,482/18888,0.114107884,8.012155054,18.74453949,7.44E-34,1.69E-30,7.11E-31,THBS1/CTNNB1/ERBB2/AR/FBXW7/MYC/BRCA2/GPX1/VDR/IL6/CCND1/CDK4/EDNRB/PPARG/BID/SOX11/VEGFA/MMP14/FGF2/NOTCH1/HIF1A/STAT3/HDAC6/MAPK1/TNF/HNF1B/AKT1/TGFBR1/SMAD3/CAV1/TGFB1/SLC39A9/IL10/EGFR/RB1/BAX/TGFA/DAB2IP/KDR/IGF1/TWIST1/SNAI2/SOX2/HRAS/NKX3-1/GATA3/TP63/STAT1/FGFR1/CDKN1A/MED1/SFN/LGR4/ESR1/IGF2,55
GO:0050678,BP,GO:0050678,regulation of epithelial cell proliferation,48/269,407/18888,0.117936118,8.280956861,17.84852711,3.58E-30,5.44E-27,2.28E-27,THBS1/CTNNB1/ERBB2/AR/FBXW7/MYC/BRCA2/GPX1/VDR/CCND1/CDK4/EDNRB/PPARG/BID/SOX11/VEGFA/FGF2/NOTCH1/HIF1A/STAT3/HDAC6/TNF/AKT1/TGFBR1/SMAD3/CAV1/TGFB1/SLC39A9/IL10/EGFR/RB1/BAX/TGFA/DAB2IP/KDR/IGF1/TWIST1/SNAI2/SOX2/HRAS/NKX3-1/GATA3/TP63/STAT1/FGFR1/MED1/SFN/IGF2,48
GO:0097193,BP,GO:0097193,intrinsic apoptotic signaling pathway,42/269,319/18888,0.131661442,9.244688909,17.8506819,2.26E-28,2.57E-25,1.08E-25,TP53/BRCA1/CTNNB1/FBXW7/MYC/BRCA2/GPX1/PTGS2/CASP3/BID/PARP1/KDM1A/CD44/SOD2/HIF1A/PRKCD/TNF/AKT1/MMP9/CAV1/MMP2/IL10/CHEK2/CUL3/BAX/DAB2IP/SNAI1/AIFM1/BNIP3/PMAIP1/SNAI2/HRAS/NKX3-1/TP63/MUC1/MLH1/MSH2/NBN/CDKN1A/SFN/CLU/FHIT,42
GO:2000628,BP,GO:2000628,regulation of miRNA metabolic process,26/269,90/18888,0.288888889,20.28451053,22.04212732,3.75E-27,3.41E-24,1.43E-24,TP53/AR/MYC/NFKB1/PPARG/VEGFA/FGF2/MYB/MALAT1/HIF1A/STAT3/SMARCA4/FOS/TNF/RELA/SMAD3/TGFB1/IL10/FOXA1/EGFR/WT1/MYCN/TWIST1/HRAS/GATA3/ESR1,26
GO:0048545,BP,GO:0048545,response to steroid hormone,41/269,338/18888,0.121301775,8.517278546,16.76202524,2.75E-26,2.09E-23,8.76E-24,SRD5A2/BRCA1/THBS1/AR/HSD3B1/IL6/PTGS2/PIK3CA/CASP3/PARP1/KDM1A/IGF1R/ARID1A/NCOA1/SMARCA4/HDAC6/PCNA/MAPK1/FOS/TNF/RELA/RHOA/CAV1/TGFB1/IL10/FOXA1/EGFR/A2M/HSD3B2/PCSK1/AIFM1/NKX3-1/AKR1C3/TP63/CDKN1A/MED1/UCN/PER1/ESR1/ESR2/CLOCK,41
GO:2000630,BP,GO:2000630,positive regulation of miRNA metabolic process,23/269,67/18888,0.343283582,24.10386728,22.77089965,4.00E-26,2.60E-23,1.09E-23,TP53/AR/MYC/NFKB1/PPARG/FGF2/MYB/MALAT1/HIF1A/STAT3/SMARCA4/FOS/TNF/RELA/SMAD3/TGFB1/IL10/FOXA1/EGFR/WT1/MYCN/HRAS/GATA3,23
GO:0010586,BP,GO:0010586,miRNA metabolic process,26/269,108/18888,0.240740741,16.90375878,19.92247625,7.12E-25,4.05E-22,1.70E-22,TP53/AR/MYC/NFKB1/PPARG/VEGFA/FGF2/MYB/MALAT1/HIF1A/STAT3/SMARCA4/FOS/TNF/RELA/SMAD3/TGFB1/IL10/FOXA1/EGFR/WT1/MYCN/TWIST1/HRAS/GATA3/ESR1,26
GO:1902893,BP,GO:1902893,regulation of miRNA transcription,23/269,75/18888,0.306666667,21.5327881,21.41553772,8.11E-25,4.10E-22,1.72E-22,TP53/AR/MYC/PPARG/VEGFA/FGF2/MYB/HIF1A/STAT3/SMARCA4/FOS/TNF/RELA/SMAD3/TGFB1/IL10/FOXA1/EGFR/WT1/MYCN/TWIST1/GATA3/ESR1,23
GO:0061614,BP,GO:0061614,miRNA transcription,23/269,76/18888,0.302631579,21.24946194,21.26092979,1.15E-24,5.23E-22,2.19E-22,TP53/AR/MYC/PPARG/VEGFA/FGF2/MYB/HIF1A/STAT3/SMARCA4/FOS/TNF/RELA/SMAD3/TGFB1/IL10/FOXA1/EGFR/WT1/MYCN/TWIST1/GATA3/ESR1,23
