Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05200:Pathways in cancer	75	26.881720430107524	2.675958224556481E-37	7046, 2353, 3320, 7040, 3481, 3480, 4292, 3439, 1019, 3914, 595, 673, 354, 1017, 4609, 3479, 675, 1499, 356, 238, 8648, 999, 637, 836, 3091, 5594, 1029, 3569, 1026, 367, 2950, 841, 2475, 4851, 207, 5468, 5743, 5747, 3845, 4790, 4792, 7422, 6772, 5366, 6774, 2099, 3265, 6093, 8030, 1910, 2248, 2247, 1956, 4824, 4088, 5970, 7157, 8202, 7039, 2100, 2264, 2064, 5290, 2260, 5292, 581, 5728, 387, 2335, 4312, 4313, 7428, 4436, 4318, 5925	218	533	8840	5.70597449093757	6.90397221935572E-35	6.90397221935572E-35	3.3449477806956014E-35
KEGG_PATHWAY	hsa05215:Prostate cancer	34	12.186379928315413	2.0115514469205112E-29	4790, 4792, 2078, 3265, 3320, 3480, 595, 673, 354, 1017, 3479, 1499, 4824, 1956, 5594, 7113, 5970, 7157, 7039, 2064, 5290, 2260, 2119, 5728, 1026, 367, 2950, 2475, 207, 5328, 3845, 4318, 5925, 6716	218	98	8840	14.068526493166074	5.189802733054919E-27	2.5949013665274594E-27	1.2572196543253196E-27
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	42	15.053763440860216	1.346058209279382E-26	7422, 7124, 6774, 3265, 2099, 7040, 6093, 3481, 3480, 595, 673, 4609, 2247, 3479, 1499, 356, 1432, 857, 836, 1956, 7099, 7057, 3091, 5594, 3791, 7157, 7291, 2064, 5290, 2260, 387, 960, 1026, 2335, 2475, 207, 4313, 79923, 5328, 5747, 3845, 4318	218	204	8840	8.34862385321101	3.472830179940806E-24	1.1576100599802685E-24	5.6085758719974245E-25
KEGG_PATHWAY	hsa05161:Hepatitis B	35	12.544802867383511	1.1277632205941146E-22	7046, 4790, 4792, 7124, 6772, 6774, 2353, 3265, 7040, 3439, 673, 1017, 4609, 356, 1432, 637, 836, 7099, 5594, 5111, 4088, 5970, 7157, 6885, 5290, 581, 5609, 3569, 1026, 841, 207, 3845, 4615, 4318, 5925	218	163	8840	8.707153711937863	2.9096291091328153E-20	7.274072772832038E-21	3.524260064356608E-21
KEGG_PATHWAY	hsa01522:Endocrine resistance	28	10.03584229390681	1.8890057789824946E-21	2353, 3265, 2099, 3480, 1019, 595, 673, 3479, 1432, 1956, 5594, 7157, 8202, 2100, 2064, 5290, 581, 1029, 1026, 2475, 4851, 207, 4313, 5469, 5747, 3845, 4318, 5925	218	99	8840	11.468816606431286	4.873634909774836E-19	9.747269819549672E-20	4.7225144474562363E-20
KEGG_PATHWAY	hsa05212:Pancreatic cancer	25	8.960573476702509	1.065474034996819E-20	7046, 4790, 7422, 6772, 6774, 7040, 1019, 595, 673, 675, 1956, 5594, 4088, 5970, 7157, 7039, 2064, 5290, 581, 1029, 1026, 2475, 207, 3845, 5925	218	77	8840	13.165733349219588	2.748923010291793E-18	4.581538350486322E-19	2.2197375729100393E-19
KEGG_PATHWAY	hsa04933:AGE-RAGE signaling pathway in diabetic complications	27	9.67741935483871	5.446217726317348E-20	5580, 7046, 4790, 7422, 7124, 6772, 6774, 3265, 7040, 1019, 595, 1432, 3553, 836, 5054, 7056, 5594, 4088, 5970, 5290, 581, 5292, 3569, 2335, 207, 4313, 3845	218	101	8840	10.840221636842585	1.4051241733898758E-17	2.0073202476998224E-18	9.725388796995265E-19
KEGG_PATHWAY	hsa05224:Breast cancer	31	11.11111111111111	1.0352192738521864E-19	2353, 3265, 2099, 3480, 1019, 595, 672, 673, 4609, 2248, 2247, 3479, 1499, 675, 8648, 1956, 5594, 7157, 8202, 2100, 2064, 5290, 2260, 581, 5728, 1026, 2475, 4851, 207, 3845, 5925	218	148	8840	8.493677163401935	2.670865726538641E-17	3.3385821581733014E-18	1.6175301153940413E-18
KEGG_PATHWAY	hsa05219:Bladder cancer	19	6.810035842293908	6.169850491034579E-19	7057, 5594, 7422, 7157, 3265, 2064, 1019, 1029, 595, 673, 4609, 1026, 4312, 999, 4313, 1956, 3845, 4318, 5925	218	41	8840	18.7916759901544	1.5918214266869215E-16	1.7686904740965794E-17	8.569236793103582E-18
KEGG_PATHWAY	hsa05210:Colorectal cancer	24	8.60215053763441	4.416395028697481E-18	7046, 5594, 4088, 7157, 5366, 7039, 2353, 3265, 7040, 5290, 581, 4292, 595, 673, 387, 4609, 1026, 1499, 2475, 207, 836, 4436, 1956, 3845	218	87	8840	11.186333438785196	1.1394299174039501E-15	1.13942991740395E-16	5.520493785871851E-17
