PMID	Abstract
39474560	This report presents a case of an exceptionally delayed distant recurrence of a choroidal melanoma, occurring 4 decades after the enucleation of the affected eye.In 1977, a 29-year-old man underwent enucleation for a choroidal melanoma. At the age of 68 years, he was diagnosed with advanced prostate cancer. Although the metastatic prostate cancer responded to treatment, a persistent lung lesion warranted further examination. A lung biopsy, somewhat surprisingly, confirmed the presence of melanoma metastasis, 4 decades after the enucleation. The cells were positive for Melan-A, while no The recurrence of a choroidal melanoma is substantiated by the histopathological and molecular analyses, including the finding of a 
39473410	Chromosomal rearrangements and recurrent gene fusions were previously presumed to be the primary oncogenic mechanisms of hematological malignancies. However, the discovery of gene fusions in different cancers has opened new horizons to comprehensively investigate how cell type-specific fusion oncoproteins modulate signaling cascades. Prostate cancer (PCa) is a multifaceted and therapeutically challenging disease, and functional genomics have helped us develop a better understanding of the mechanisms underlying prostate carcinogenesis, castration-resistant PCa, and metastasis. Keeping in mind the fact that gene fusions have also been discovered in PCa, there has been rapid expansion in the field of molecular oncology and researchers are uncovering new facets regarding the mechanistic regulation of signaling pathways by fusion oncoproteins.
39473059	Approximately 15% of patients with localized prostate cancer are at high risk for disease recurrence. Many clinical trials have evaluated the impact of neoadjuvant therapy before radical prostatectomy with mixed results (NCT00321698).This phase I/II clinical trial evaluated the tolerability and preliminary efficacy of neoadjuvant radiation therapy and docetaxel before prostatectomy in 25 men with high-risk prostate cancer. The treatment regimen included 45 Gy radiotherapy in 25 fractions to the prostate and seminal vesicles over 5 weeks, along with weekly dose-escalated docetaxel up to 30 mg/m², followed by prostatectomy and bilateral lymph node dissection. The primary endpoint was the rate of pathologic complete response (pCR). Secondary endpoints included adverse events, symptom and quality of life measures, and prostate-specific antigen metrics.All 25 patients completed the planned treatment. The primary endpoint of pCR was not achieved. Lymphopenia was the most common grade 3 or higher toxicity, with no grade 3 or higher genitourinary or gastrointestinal toxicities observed. With a median follow-up of 11.6 years, the 10-year biochemical recurrence-free survival was 60%, and distant metastasis-free survival was 80%. Prostate cancer-specific survival and overall survival at 10 years were 84% and 60%, respectively.Although pCR was not met, the treatment demonstrated a modest toxicity profile and reasonable long-term outcomes, suggesting feasibility and safety. Further studies are needed to optimize endpoints and assess the efficacy of neoadjuvant treatments compared with standard approaches in high-risk prostate cancer patients.
39472200	Lymph node dissection (LND) has been standard in cancer surgery for more than a century, yet evidence from randomized trials showing a benefit is scarce. We conducted a clinically integrated randomized trial comparing limited versus extended pelvic LND (PLND) during radical prostatectomy and previously reported comparable biochemical recurrence (BCR) rates. We report updated BCR rates and compare rates of metastasis between the study arms.Between October 2011 and March 2017, 1432 patients undergoing radical prostatectomy were enrolled at a single center. Surgeons were cluster randomized to perform limited (external iliac nodes) or extended PLND (external iliac, obturator, and hypogastric nodes) with crossover for 3-mo periods. Cox proportional-hazards regression with robust standard errors clustered by surgeon was used to assess whether the PLND template affected BCR or distant or locoregional metastasis.There were 452 BCR events at median follow-up of 4.2 yr for participants who did not develop BCR. The results confirm our previous finding of comparable BCR rates between the arms (hazard ratio [HR] 1.05, 95% confidence interval [CI] 0.97-1.13; p = 0.3). However, with 123 metastasis events and median follow-up of 5.4 yr for patients without metastasis, we found a clinically and statistically significant protective effect of extended PLND against metastasis (any metastasis: HR 0.82, 95% CI 0.71-0.93; p = 0.003; distant metastasis: HR 0.75, 95% CI 0.64-0.88; p < 0.001).Patients undergoing radical prostatectomy should receive extended PLND that includes the external iliac, obturator, and hypogastric nodes. Further research should examine biological mechanisms regarding the anatomic location of affected nodes. Trials of LND for other cancers are warranted and should consider our clinically integrated design. This trial is registered on ClinicalTrials.gov as NCT01407263.
39470422	Background An artificial intelligence (AI)-based method for measuring intraprostatic tumor volume based on data from MRI may provide prognostic information. Purpose To evaluate whether the total volume of intraprostatic tumor from AI-generated segmentations (V
39468217	Focal Therapy (FT) is a treatment option for the treatment of limited volume clinically significant prostate cancer (csPCa). We aim to systematically review outcomes of established FT modalities to assess the contemporary baseline and identify gaps in evidence that will aid in further trial and study design.We conducted a systematic review and meta-analysis of all primary studies reporting outcomes of FT using cryotherapy, high-intensity focused ultrasound (HIFU), and irreversible electroporation (IRE). We described patient inclusion criteria, selection tools, treatment parameters, and surveillance protocols, and pooled overall survival (OS), cancer-specific survival (CSS), metastasis-free survival (MFS), biochemical progression (BP), biopsy, secondary treatment, sexual, and urinary function outcomes. Composite failure was defined as salvage whole gland ablation, radical treatment, hormonal therapy or transition to watchful waiting.We identified 49 unique cohorts of men undergoing FT between 2008 and 2024 (21 cryotherapy, 20 HIFU, and 8 IRE). Median follow-up ranged from 6 to 63 months. Pooled OS was 98.0%, CSS 99.3%, and MFS 98.5%. Pooled BP was 9.4%/year. Biopsy was mandated post-FT within 24 months in 36/49 (73.5%) cohorts, with pooled csPCa (GG ≥ 2) rates of 22.2% overall, 8.9% infield, and 12.3% outfield. The pooled rate of secondary FT was 5.0%, radical treatment 10.5%, and composite failure 14.1%. Of 35 studies reporting sexual function, 45.7% reported a low, 48.6% moderate, and 5.7% severe impact. For 34 cohorts reporting urinary function, 97.1% reported a low impact. No differences were noted between cryotherapy, HIFU, or IRE in any of the outcomes.FT with cryotherapy, HIFU, and IRE is associated with good short-intermediate term oncological and functional outcomes. However, outcome reporting is heterogeneous and often incomplete. Long-term follow-up and standardized reporting are required to better define and report FT outcomes.
39467994	Androgen-receptor signaling inhibitors (ARSIs) become the new standard of care for metastatic hormone-sensitive prostate cancer (mHSPC). It is unknown whether time to castration resistance (TTCR), when using the first-line ARSIs, offers predictive value in mHSPC. We sought to assess the clinical outcomes for mHSPC patients treated with first-line ARSIs focusing on the TTCR.Data from the ULTRA-Japan study cohort from five academic institutes (496 mHSPC patients) were retrospectively analyzed.The median overall survival (OS) in the total cohort was 80 months with a median follow-up of 18 months. Of 496 patients, 332 (67%), 82 (16.5%), and 82 (16.5%) were treated with first-line abiraterone acetate + prednisone, enzalutamide, and apalutamide, respectively. During the follow-up, a total of 155 (31%) were diagnosed with mCRPC with a median TTCR of 10 months. In those 155 patients, TTCR > 12 months is an independent predictor of longer OS from the first-line ARSIs. Cox regression analysis of the TTCR from initiating first-line ARSI in 496 mHSPC patients revealed three variables as independent predictors of shorter TTCR, including Gleason's score (GS) ≥ 9, the extent of disease (EOD) ≥ 2, and the presence of liver metastasis.Our results indicate that mHSPC patients with those three features are likely to have primary resistance to first-line ARSIs (doublet therapy), thus requiring consideration of other options, such as the recent triplet approach.
39466634	Patients with metastatic castration-resistant prostate cancer usually have lymph nodes and bone metastasis. We present a rare case of a 51-year-old patient with metastatic castration-resistant prostate cancer who complained of left truncated sciatica and diffuse bone pain and who was referred for 177Lu-prostate-specific membrane antigen (PSMA) screening. Pretreatment 68Ga-PSMA showed left sciatic nerve and multiple bone uptake. Patient underwent stereotactic radiotherapy on the sciatic nerve metastasis (30 Gy in 6 fractions of 5 Gy) before 7.4 GBq of 177Lu-PSMA infusions. Left truncated sciatica disappeared after stereotactic radiotherapy. No additional toxicity was added to the sciatic nerve from 177Lu-PSMA after stereotactic radiotherapy.
39465866	Metastatic castration-resistant prostate cancer has a poor prognosis especially when harboring DNA damage repair gene mutations, nevertheless, in the case of pathogenic BRCA gene mutations, PARPi demonstrated a survival benefit and is a validated treatment. Nowadays, there is no data regarding unusual metastases after these drugs. Cutaneous metastases appear rarely in prostate cancer and were associated with a worse prognosis. Moreover, there are no consolidated data concerning skin tropism of prostate cancer cells, neither in the case of BRCA-associated cancers.Here, we report the case of a patient with a long history of BRCA1-mutated metastatic castration-resistant prostate cancer who developed a skin lesion on the scalp while on his fifth line of systemic therapy with olaparib. After a complete radical surgical excision, the pathology report showed prostate cancer localization.A diagnosis of skin metastasis from prostate cancer was reported.The patient then continued olaparib therapy; after 7 months from excision, he experienced further bone and biochemical progression but not cutaneous progression.A literature review of all reported cases of cutaneous metastasis in prostate cancer was conducted to shed light on the incidence, clinical presentation, diagnosis, treatment, and prognosis of this entity. We also reviewed published cases of skin metastasis in BRCA-associated cancers with an effort to correlate skin involvement with PARPi treatment, BRCAness status, and prognosis.
39465761	In this prospective observational study, our objective was to investigate the serum levels of Acyl-CoA synthetase long-chain family member 4 (ACSL4) in prostate cancer (PCa) patients and examine its association with other serum biomarkers, and the clinical outcomes of PCa patients. This prospective observational study was conducted from January 2019 to October 2021, including 103 cases of PCa patients and 101 cases of benign prostate hyperplasia (BPH) patients who received treatment at our hospital. All patients had their serum ACSL4 levels measured using enzyme-linked immunosorbent assay before treatment. The clinical outcomes included age, body mass index, gender, systolic blood pressure, diastolic blood pressure, tumor node metastasis stage, Gleason scores, and prostate volume and serum biomarkers were collected. All patients were followed up for 36 months, the overall survival and disease-free survival were recorded for all patients. All data used SPSS 26.0 for analysis. The phosphorus (P) and serum low-density lipoprotein cholesterol levels were significantly higher in PCa patients compared to BPH patients. Furthermore, compared to the BPH patients, the serum ACSL4 and free prostate-specific antigen levels were significantly decreased while serum total prostate-specific antigen (tPSA) levels were significantly elevated in PCa patients. Pearson correlation analysis showed a positive correlation between ACSL4 levels and free prostate-specific antigen levels, while a negative correlation was observed with P and tPSA levels. ACSL4 might serve as a biomarker for diagnosing PCa with the AUC was 0.747, cutoff value of 33.68 ng/mL, sensitivity of 70.3%, and specificity of 60.2%. Finally, we found that ACSL4, tPSA, and P were identified as risk factors associated with PCa patients. Our findings indicated that the serum levels of ACSL4 were significantly decreased in PCa patients compared to BPH patients. Serum ACSL4 could be used as a potential biomarker for early PCa diagnosis and prognosis.
